,m1,m2,m3,m4,m5,m6
320,chunk,questn,aff.nor,questn,aff.nor,end
321,aff.nor,questn,questn,aff.nor,chunk,end
322,questn,aff.nor,questn,questn,questn,end
323,questn,chunk,questn,questn,questn,end
324,aff.nor,aff.nor,chunk,chunk,chunk,end
325,aff.nor,aff.nor,questn,questn,questn,end
326,chunk,aff.nor,chunk,chunk,questn,end
327,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
328,aff.nor,aff.nor,aff.nor,aff.nor,questn,end
329,questn,chunk,chunk,aff.nor,questn,phone
330,chunk,chunk,questn,questn,questn,end
333,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
334,questn,aff.nor,questn,questn,questn,end
335,questn,aff.nor,chunk,chunk,questn,end
336,aff.nor,aff.nor,questn,questn,questn,end
337,questn,aff.nor,aff.nor,aff.nor,aff.nor,piss.off
338,aff.nor,aff.nor,aff.nor,questn,aff.nor,phone
339,aff.nor,aff.nor,aff.off,aff.off,aff.off,piss.off
340,aff.nor,aff.nor,chunk,chunk,questn,end
341,aff.nor,chunk,aff.nor,aff.nor,questn,end
342,aff.nor,chunk,aff.off,aff.off,aff.off,end
343,aff.nor,aff.nor,aff.nor,questn,aff.nor,phone
344,questn,aff.nor,questn,aff.nor,aff.nor,end
345,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
346,aff.nor,aff.nor,questn,questn,questn,end
347,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
348,chunk,questn,chunk,chunk,questn,end
349,aff.nor,chunk,aff.nor,aff.nor,aff.nor,end
350,questn,aff.nor,chunk,chunk,questn,end
351,aff.nor,aff.nor,questn,aff.nor,aff.nor,end
352,aff.nor,aff.nor,chunk,chunk,questn,end
353,aff.nor,piss.off,aff.nor,aff.nor,aff.nor,end
354,aff.nor,aff.nor,chunk,aff.nor,aff.nor,end
355,questn,aff.nor,aff.nor,chunk,questn,phone
356,questn,chunk,aff.nor,questn,aff.nor,phone
357,questn,aff.nor,aff.off,aff.off,aff.off,end
358,aff.nor,aff.nor,aff.nor,chunk,questn,phone
359,aff.nor,questn,chunk,piss.off,aff.nor,end
360,questn,questn,aff.off,aff.off,aff.off,end
